SL: NO,FAMILY,GENUS,SPECIES,COLLECTION NUMBER,COLLECTOR,DATE OF COLLECTION,LOCALITY,DISTRICT,STATE,COUNTRY,ALTITUDE,Barcode
1,Anacardiaceae,Anacardium,Anacardium occidentale,,Fathima V. A.,,Cheppanam,Ernakulam,,India,,DSAH000001
2,Anacardiaceae,Anacardium,"Anacardium occidentale, Linn.",36/32,Ann Sherin Mani,6/6/97,Kuravilangad,Kottayam,,India,,DSAH000002
3,Anacardiaceae,Anacardium,"Anacardium occidentale, Linn.",210/39,Geetha M. T.,11/2/88,,Ernakulam,,India,,DSAH000003
4,Anacardiaceae,Anacardium,"Anacardium occidentale, L.",44/29,Sini K. Sebastian ,18/7/96,Vandanam,Alappuzha,,India,,DSAH000004
5,Anacardiaceae,Anacardium,"Anacardium occidentale, L.",52/27,Chitra Menon,18/7/96,,Ernakulam,,India,,DSAH000005
6,Anacardiaceae,Anacardium,Anacardium occidentale,,Ashlin Rose Wilson,,,Kozhikode ,,India,,DSAH000006
7,Anacardiaceae,Anacardium,Anacardium occidentale,,Nimisha P. Menon,,Thripunithura,Ernakulam,,India,,DSAH000007
8,Anacardiaceae,Anacardium,Anacardium occidentale,,Aiswarya T. S.,,Parali,Palakkad,,India,,DSAH000008
9,Anacardiaceae,Anacardium,Anacardium occidentale,,Miliya Paulson,,Kathikudam,Thrissur,,India,,DSAH000009
10,Anacardiaceae,Anacardium,Anacardium occidentale,,Chelsy Rejil,,Karingachira,Ernakulam,,India,,DSAH000010
11,Anacardiaceae,Anacardium,Anacardium occidentale,,Jayalakshmi S.,,Aroor,Alappuzha,,India,,DSAH000011
12,Anacardiaceae,Anacardium,Anacardium occidentale,,Libiya Gilbat,,,Ernakulam,,India,,DSAH000012
13,Anacardiaceae,Buchanania,Buchanania lanzan ,,Prof. Panicker,4/2/1996,Peermala,Idukki,,India,700m,DSAH000013
14,Anacardiaceae,Buchanania,"Buchanania laticifolia, Roxb. ",,,1/2/1969,,Ernakulam,,India,,DSAH000014
15,Anacardiaceae,Buchanania,"Buchanania laticifolia, Roxb. ",,,20/1/1981,,Thrissur,,India,,DSAH000015
16,Anacardiaceae,Corynocarpus,Corynocarpus levigata,,,13/10/1973,Ooty,Neelagiri,,India,,DSAH000016
17,Anacardiaceae,Holigarna,Holigarna arnottiana,,,22/1/80,Kalamaserry,Ernakulam,,India,,DSAH000017
18,Anacardiaceae,Lannea,Lannea coromandeliana (Hoult). Merril.,,Sr. Avita,18/12/78,,,Gujarat,India,,DSAH000018
19,Anacardiaceae,Mangifera, Mangifera indica,,Krishna Jayachandran,,Nettoor,Ernakulam,,India,,DSAH000019
20,Anacardiaceae,Mangifera,Mangifera indica,,Sheetal A. A.,,Chittoor,,,India,,DSAH000020
